"Product Category",Brand,Comments,"Repair Status","Spare parts (needed/used)",Event,Group,Date
"Laptop medium",HP,"Does not turn on, and generally slow",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Headphones,,"Does not charge",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"PC Accessory",WD,"Does not work with PC",Repairable,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Lamp,,"Light switch needs changing",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Small kitchen item",Wilfa,"Grinder does not turn",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Hi-Fi integrated",Philips,"CD does not turn",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Misc,,"Does not work",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Laptop medium",Apple,"Software issues",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Toy,,"Turns itself off",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Small kitchen item",,"Power supply","End of life",No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Misc,AEG,"Sews slowly",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"TV and gaming-related accessories",,"Bad connection",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
"Laptop medium",Compaq,"Software issues",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Lamp,,"Broken wire",Fixed,No,"Fiksefest på Manglerud senter","Restarters Oslo",2018-11-10
Mobile,Samsung,"Likely short circuit in charging port or IO board - needs new battery and charging port",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Samsung,"Damaged LCD",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Water damage","End of life",No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Strips on display - previous repair shop opened it and lost some screws and a bracket in between",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Nothing is wrong during diagnosis",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Huawei,"Cracked screen",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
"Laptop medium",Apple,"End-of-life battery",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Misc,,"Steam iron not steaming anymore","End of life",No,Landen,"Repair Café Landen",2019-03-24
Lamp,,"Thermal fuse blown",Fixed,No,Landen,"Repair Café Landen",2019-03-24
"Power tool",Ryobi,"Fan blocked",Fixed,No,Landen,"Repair Café Landen",2019-03-24
Tablet,Amazon,"Perpetual ""need charging"" message; cannot reboot or power on/of","End of life",No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Cracked screen, end-of-life battery",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Headphones,Beats,"Hinge becomes detached",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Ghost touch on digitiser",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Gassing battery, cracked screen, broken camera lens",Repairable,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
Mobile,Apple,"Cracked screen assembly",Fixed,No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
"PC Accessory",Logitech,"Connection not recognised from any computer","End of life",No,"The Hong Kong University of Science and Technology",REMAKE,2019-03-17
